BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	isolate	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	biomaterial_provider	cell_line	sex	tissue
SAMN08038218	SRX3402057	T47D_3h_2G1	786	299	SRR6301202	SRS2696042	T47D_3h_2G1	T47D_3h_2G1	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038246	SRX3402058	T47D_6h_population	1319	488	SRR6301201	SRS2696043	T47D_6h_population	T47D_6h_population	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038245	SRX3402059	T47D_6h_2H8	1121	418	SRR6301200	SRS2696044	T47D_6h_2H8	T47D_6h_2H8	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038242	SRX3402060	T47D_6h_2G2	1082	402	SRR6301199	SRS2696045	T47D_6h_2G2	T47D_6h_2G2	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038241	SRX3402061	T47D_6h_2G10	1121	416	SRR6301198	SRS2696046	T47D_6h_2G10	T47D_6h_2G10	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038244	SRX3402062	T47D_6h_2H1	1030	379	SRR6301197	SRS2696047	T47D_6h_2H1	T47D_6h_2H1	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038243	SRX3402063	T47D_6h_2G6	727	268	SRR6301196	SRS2696048	T47D_6h_2G6	T47D_6h_2G6	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038170	SRX3402064	T47D_0h_G9	1019	383	SRR6301195	SRS2696049	T47D_0h_G9	T47D_0h_G9	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038169	SRX3402065	T47D_0h_G3	1022	379	SRR6301194	SRS2696050	T47D_0h_G3	T47D_0h_G3	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038166	SRX3402066	T47D_0h_F7	1102	405	SRR6301193	SRS2696051	T47D_0h_F7	T47D_0h_F7	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038165	SRX3402067	T47D_0h_F11	781	286	SRR6301192	SRS2696052	T47D_0h_F11	T47D_0h_F11	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038168	SRX3402068	T47D_0h_G12	1097	404	SRR6301191	SRS2696053	T47D_0h_G12	T47D_0h_G12	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038167	SRX3402069	T47D_0h_F8	855	320	SRR6301190	SRS2696054	T47D_0h_F8	T47D_0h_F8	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038162	SRX3402070	T47D_0h_E12	1060	394	SRR6301189	SRS2696055	T47D_0h_E12	T47D_0h_E12	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038161	SRX3402071	T47D_0h_E11	1022	377	SRR6301188	SRS2696056	T47D_0h_E11	T47D_0h_E11	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038164	SRX3402072	T47D_0h_F1	1228	452	SRR6301187	SRS2696057	T47D_0h_F1	T47D_0h_F1	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038163	SRX3402073	T47D_0h_E9	1073	398	SRR6301186	SRS2696058	T47D_0h_E9	T47D_0h_E9	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038237	SRX3402074	T47D_6h_2F1	1022	376	SRR6301185	SRS2696059	T47D_6h_2F1	T47D_6h_2F1	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038238	SRX3402075	T47D_6h_2F2	890	345	SRR6301184	SRS2696060	T47D_6h_2F2	T47D_6h_2F2	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038235	SRX3402076	T47D_6h_2E2	1308	485	SRR6301183	SRS2696061	T47D_6h_2E2	T47D_6h_2E2	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038236	SRX3402077	T47D_6h_2E5	1369	509	SRR6301182	SRS2696062	T47D_6h_2E5	T47D_6h_2E5	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038233	SRX3402078	T47D_6h_2E10	870	317	SRR6301181	SRS2696063	T47D_6h_2E10	T47D_6h_2E10	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038234	SRX3402079	T47D_6h_2E11	1114	409	SRR6301180	SRS2696064	T47D_6h_2E11	T47D_6h_2E11	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038231	SRX3402080	T47D_6h_2D4	1185	433	SRR6301179	SRS2696065	T47D_6h_2D4	T47D_6h_2D4	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038232	SRX3402081	T47D_6h_2D7	1128	415	SRR6301178	SRS2696066	T47D_6h_2D7	T47D_6h_2D7	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038239	SRX3402082	T47D_6h_2F3	1032	385	SRR6301177	SRS2696067	T47D_6h_2F3	T47D_6h_2F3	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038240	SRX3402083	T47D_6h_2F9	777	284	SRR6301176	SRS2696068	T47D_6h_2F9	T47D_6h_2F9	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038160	SRX3402084	T47D_0h_E1	1303	481	SRR6301175	SRS2696069	T47D_0h_E1	T47D_0h_E1	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038159	SRX3402085	T47D_0h_D12	1036	378	SRR6301174	SRS2696070	T47D_0h_D12	T47D_0h_D12	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038156	SRX3402086	T47D_0h_C2	1148	430	SRR6301173	SRS2696071	T47D_0h_C2	T47D_0h_C2	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038155	SRX3402087	T47D_0h_B4	1094	413	SRR6301172	SRS2696072	T47D_0h_B4	T47D_0h_B4	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038158	SRX3402088	T47D_0h_D11	1236	461	SRR6301171	SRS2696073	T47D_0h_D11	T47D_0h_D11	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038230	SRX3402038	T47D_6h_2C6	1256	464	SRR6301221	SRS2696023	T47D_6h_2C6	T47D_6h_2C6	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038229	SRX3402039	T47D_6h_2C4	1154	431	SRR6301220	SRS2696024	T47D_6h_2C4	T47D_6h_2C4	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
SAMN08038228	SRX3402040	T47D_6h_2C12	1158	429	SRR6301219	SRS2696025	T47D_6h_2C12	T47D_6h_2C12	RNA-Seq	202	PRJNA418867	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125154	NA	Edwin CHEUNG	T-47D	female	breast
