BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	isolate	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	biomaterial_provider	cell_line	sex	tissue
SAMN08038096	SRX3401974	RHM249_12h	824	560	SRR6301096	SRS2695959	RHM249_12h	100	RHM249_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038097	SRX3401973	RHM250_12h	651	441	SRR6301097	SRS2695958	RHM250_12h	101	RHM250_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038094	SRX3401972	RHM241_12h	693	472	SRR6301098	SRS2695957	RHM241_12h	98	RHM241_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038095	SRX3401971	RHM243_12h	857	586	SRR6301099	SRS2695956	RHM243_12h	99	RHM243_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038092	SRX3401970	RHM234_12h	737	501	SRR6301100	SRS2695955	RHM234_12h	96	RHM234_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038093	SRX3401969	RHM235_12h	593	403	SRR6301101	SRS2695954	RHM235_12h	97	RHM235_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038090	SRX3401968	RHM225_12h	557	378	SRR6301102	SRS2695953	RHM225_12h	94	RHM225_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038091	SRX3401967	RHM227_12h	734	501	SRR6301103	SRS2695952	RHM227_12h	95	RHM227_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038088	SRX3401966	RHM219_12h	552	378	SRR6301104	SRS2695951	RHM219_12h	92	RHM219_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038089	SRX3401965	RHM224_12h	627	426	SRR6301105	SRS2695950	RHM224_12h	93	RHM224_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038107	SRX3401964	RHM291_12h	934	639	SRR6301106	SRS2695949	RHM291_12h	111	RHM291_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038106	SRX3401963	RHM283_12h	623	420	SRR6301107	SRS2695948	RHM283_12h	110	RHM283_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038101	SRX3401962	RHM265_12h	737	500	SRR6301108	SRS2695947	RHM265_12h	105	RHM265_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038100	SRX3401961	RHM264_12h	548	375	SRR6301109	SRS2695946	RHM264_12h	104	RHM264_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038099	SRX3401960	RHM258_12h	644	437	SRR6301110	SRS2695945	RHM258_12h	103	RHM258_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038098	SRX3401959	RHM257_12h	896	610	SRR6301111	SRS2695944	RHM257_12h	102	RHM257_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038105	SRX3401958	RHM274_12h	635	431	SRR6301112	SRS2695943	RHM274_12h	109	RHM274_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038104	SRX3401957	RHM273_12h	534	365	SRR6301113	SRS2695942	RHM273_12h	108	RHM273_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038103	SRX3401956	RHM267_12h	838	570	SRR6301114	SRS2695941	RHM267_12h	107	RHM267_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038102	SRX3401955	RHM266_12h	730	494	SRR6301115	SRS2695940	RHM266_12h	106	RHM266_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038112	SRX3401954	RHM231_3h	878	600	SRR6301116	SRS2695939	RHM231_3h	116	RHM231_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038113	SRX3401953	RHM236_3h	823	564	SRR6301117	SRS2695938	RHM236_3h	117	RHM236_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038114	SRX3401952	RHM247_3h	1008	685	SRR6301118	SRS2695937	RHM247_3h	118	RHM247_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038115	SRX3401951	RHM254_3h	848	574	SRR6301119	SRS2695936	RHM254_3h	119	RHM254_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038108	SRX3401950	RHM297_12h	553	377	SRR6301120	SRS2695935	RHM297_12h	112	RHM297_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038109	SRX3401949	RHM305_12h	618	421	SRR6301121	SRS2695934	RHM305_12h	113	RHM305_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038110	SRX3401948	RHM306_12h	554	376	SRR6301122	SRS2695933	RHM306_12h	114	RHM306_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038111	SRX3401947	RHM223_3h	712	495	SRR6301123	SRS2695932	RHM223_3h	115	RHM223_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038116	SRX3401946	RHM255_3h	1247	845	SRR6301124	SRS2695931	RHM255_3h	120	RHM255_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038117	SRX3401945	RHM261_3h	1345	921	SRR6301125	SRS2695930	RHM261_3h	121	RHM261_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
